,lower-words,in%texts
766,taire,100.0
767,taisait,100.0
768,tant,100.0
769,tapis,100.0
770,tard,100.0
771,tas,100.0
772,tasse,100.0
773,te,100.0
774,telle,100.0
775,tellement,100.0
776,temps,100.0
777,tenait,100.0
778,tendu,100.0
779,tenez,100.0
780,tenir,100.0
781,tenue,100.0
782,terre,100.0
783,tes,100.0
784,thé,100.0
785,tient,100.0
786,tirer,100.0
787,titre,100.0
788,toi,100.0
789,toile,100.0
790,tombait,100.0
791,tomber,100.0
792,tombé,100.0
793,ton,100.0
794,tort,100.0
795,toujours,100.0
796,tour,100.0
797,tous,100.0
798,tout,100.0
799,toute,100.0
800,toutes,100.0
801,train,100.0
802,traits,100.0
803,tranquillement,100.0
804,travail,100.0
805,travers,100.0
806,traverser,100.0
807,trente,100.0
808,trois,100.0
809,troisième,100.0
810,trop,100.0
811,trottoir,100.0
812,trou,100.0
813,trouvait,100.0
814,trouve,100.0
815,trouver,100.0
816,trouvé,100.0
817,très,100.0
818,tu,100.0
819,type,100.0
820,tête,100.0
821,têtes,100.0
822,tôt,100.0
823,un,100.0
824,une,100.0
825,uns,100.0
826,va,100.0
827,vague,100.0
828,vain,100.0
829,vais,100.0
830,vas,100.0
831,vaut,100.0
832,veille,100.0
833,venait,100.0
834,venir,100.0
835,venu,100.0
836,verre,100.0
837,verrez,100.0
838,vers,100.0
839,verte,100.0
840,veston,100.0
841,veut,100.0
842,veux,100.0
843,vide,100.0
844,vie,100.0
845,vieille,100.0
846,viens,100.0
847,vient,100.0
848,vieux,100.0
849,village,100.0
850,ville,100.0
851,vin,100.0
852,vingt,100.0
853,visage,100.0
854,visite,100.0
855,visiter,100.0
856,vite,100.0
857,vivre,100.0
858,voici,100.0
859,voilà,100.0
860,voir,100.0
861,vois,100.0
862,voisin,100.0
863,voit,100.0
864,voiture,100.0
865,voitures,100.0
866,voix,100.0
867,vont,100.0
868,voudrais,100.0
869,voudrait,100.0
870,voulait,100.0
871,voulez,100.0
872,vouloir,100.0
873,vous,100.0
874,voyage,100.0
875,voyant,100.0
876,voyez,100.0
877,vrai,100.0
878,vraiment,100.0
879,vu,100.0
880,vue,100.0
881,vérité,100.0
882,xxxxxxxx,100.0
883,y,100.0
884,yeux,100.0
885,à,100.0
886,âge,100.0
887,ça,100.0
888,écoutait,100.0
889,électrique,100.0
890,épaules,100.0
891,étaient,100.0
892,était,100.0
893,étant,100.0
894,état,100.0
895,été,100.0
896,être,100.0
897,œil,100.0
898,absence,83.33333333333334
899,accent,83.33333333333334
900,accord,83.33333333333334
901,acheté,83.33333333333334
902,adresse,83.33333333333334
903,adresser,83.33333333333334
904,afin,83.33333333333334
905,agent,83.33333333333334
906,agents,83.33333333333334
907,agiter,83.33333333333334
908,aider,83.33333333333334
909,aille,83.33333333333334
910,aimait,83.33333333333334
911,aimerais,83.33333333333334
912,aimé,83.33333333333334
913,ait,83.33333333333334
914,alcool,83.33333333333334
915,alla,83.33333333333334
916,allaient,83.33333333333334
917,allais,83.33333333333334
918,allumer,83.33333333333334
919,allure,83.33333333333334
920,allés,83.33333333333334
921,allô,83.33333333333334
922,amies,83.33333333333334
923,amis,83.33333333333334
924,ancien,83.33333333333334
925,anciens,83.33333333333334
926,angoisse,83.33333333333334
927,annonce,83.33333333333334
928,annonça,83.33333333333334
929,aperçu,83.33333333333334
930,aperçut,83.33333333333334
931,appareils,83.33333333333334
932,apparente,83.33333333333334
933,appelait,83.33333333333334
934,appels,83.33333333333334
935,apporte,83.33333333333334
936,appris,83.33333333333334
937,approcha,83.33333333333334
938,approché,83.33333333333334
939,arme,83.33333333333334
940,armé,83.33333333333334
941,arriva,83.33333333333334
942,arrivés,83.33333333333334
943,arrêt,83.33333333333334
944,arrêta,83.33333333333334
945,arrêtait,83.33333333333334
946,arrêter,83.33333333333334
947,arrêté,83.33333333333334
948,aspect,83.33333333333334
949,assisté,83.33333333333334
950,assurer,83.33333333333334
951,atelier,83.33333333333334
952,atteindre,83.33333333333334
953,atteint,83.33333333333334
954,attendant,83.33333333333334
955,attendez,83.33333333333334
956,attendit,83.33333333333334
957,attends,83.33333333333334
958,aurais,83.33333333333334
959,auriez,83.33333333333334
960,aussitôt,83.33333333333334
961,auto,83.33333333333334
962,autobus,83.33333333333334
963,avancer,83.33333333333334
964,avançait,83.33333333333334
965,aviez,83.33333333333334
966,avion,83.33333333333334
967,avions,83.33333333333334
968,avocat,83.33333333333334
969,avons,83.33333333333334
970,balles,83.33333333333334
971,bande,83.33333333333334
972,banque,83.33333333333334
973,base,83.33333333333334
974,basse,83.33333333333334
975,beaux,83.33333333333334
976,billets,83.33333333333334
977,blanches,83.33333333333334
978,bleue,83.33333333333334
979,bloc,83.33333333333334
980,blond,83.33333333333334
981,boit,83.33333333333334
982,bonheur,83.33333333333334
983,bonjour,83.33333333333334
984,bonnes,83.33333333333334
985,bons,83.33333333333334
986,bords,83.33333333333334
987,bouffées,83.33333333333334
988,bouger,83.33333333333334
989,boule,83.33333333333334
990,bourré,83.33333333333334
991,bouteille,83.33333333333334
992,bouteilles,83.33333333333334
993,bouton,83.33333333333334
994,bouts,83.33333333333334
995,boîte,83.33333333333334
996,brave,83.33333333333334
997,bref,83.33333333333334
998,brusquement,83.33333333333334
999,brutalement,83.33333333333334
1000,bureau,83.33333333333334
1001,but,83.33333333333334
1002,buté,83.33333333333334
1003,buvait,83.33333333333334
1004,bâtiments,83.33333333333334
1005,bête,83.33333333333334
1006,cache,83.33333333333334
1007,cacher,83.33333333333334
1008,caché,83.33333333333334
1009,cadre,83.33333333333334
1010,café,83.33333333333334
1011,camions,83.33333333333334
1012,camp,83.33333333333334
1013,capable,83.33333333333334
1014,casquette,83.33333333333334
1015,cassée,83.33333333333334
1016,cendrier,83.33333333333334
1017,centaines,83.33333333333334
1018,cependant,83.33333333333334
1019,certain,83.33333333333334
1020,certaine,83.33333333333334
1021,certainement,83.33333333333334
1022,certaines,83.33333333333334
1023,certes,83.33333333333334
1024,cessé,83.33333333333334
1025,chaise,83.33333333333334
1026,chaleur,83.33333333333334
1027,chambres,83.33333333333334
1028,champs,83.33333333333334
1029,change,83.33333333333334
1030,changeait,83.33333333333334
1031,chanter,83.33333333333334
1032,chapeau,83.33333333333334
1033,chargée,83.33333333333334
1034,chaude,83.33333333333334
1035,chauffeur,83.33333333333334
1036,chaussures,83.33333333333334
1037,chef,83.33333333333334
1038,cheminée,83.33333333333334
1039,chercha,83.33333333333334
1040,cherchait,83.33333333333334
1041,cherchant,83.33333333333334
1042,cherche,83.33333333333334
1043,cheval,83.33333333333334
1044,chien,83.33333333333334
1045,choisi,83.33333333333334
1046,choisit,83.33333333333334
1047,cigarette,83.33333333333334
1048,ciment,83.33333333333334
1049,claire,83.33333333333334
1050,clef,83.33333333333334
1051,client,83.33333333333334
1052,clients,83.33333333333334
1053,collègue,83.33333333333334
1054,commanda,83.33333333333334
1055,commencent,83.33333333333334
1056,commencer,83.33333333333334
1057,commencé,83.33333333333334
1058,commença,83.33333333333334
1059,compagnon,83.33333333333334
1060,complet,83.33333333333334
1061,comprit,83.33333333333334
1062,comptoir,83.33333333333334
1063,conduire,83.33333333333334
1064,conduisait,83.33333333333334
